plant,year,stage,seeds,year2,fate,seeds2,PS
681,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
682,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
683,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
684,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
685,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
686,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
687,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
689,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
690,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
691,2019,PS,0,2021,dead,0,0
